
2024/05/15 (14:39:27) | ===> btop++ v.1.3.2
2024/05/15 (14:39:27) | ERROR: Stall in Runner thread, restarting!

2024/08/28 (15:21:02) | ===> btop++ v.1.3.0
2024/08/28 (15:21:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/28 (15:21:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/28 (15:31:25) | ===> btop++ v.1.3.0
2024/08/28 (15:31:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/28 (15:31:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/03 (14:20:21) | ===> btop++ v.1.3.0
2024/09/03 (14:20:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/03 (14:20:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/03 (14:27:36) | ===> btop++ v.1.3.0
2024/09/03 (14:27:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/03 (14:27:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported
